dataset,gsm,panel,configured_gene_count,measured_gene_count,measured_fraction
GSE230808,GSM7235347,NP_support,15,15,1.000000
GSE230808,GSM7235347,immune_exclusion,17,17,1.000000
GSE230808,GSM7235347,endothelial_exclusion,9,9,1.000000
GSE230808,GSM7235347,mural_exclusion,7,7,1.000000
GSE230808,GSM7235347,erythroid_exclusion,7,7,1.000000
GSE230808,GSM7235348,AF_support,17,17,1.000000
GSE230808,GSM7235348,NP_support,15,15,1.000000
GSE230808,GSM7235348,immune_exclusion,17,17,1.000000
GSE230808,GSM7235348,endothelial_exclusion,9,9,1.000000
GSE230808,GSM7235348,mural_exclusion,7,7,1.000000
GSE230808,GSM7235348,erythroid_exclusion,7,7,1.000000
