dataset,gsm,donor_id,compartment,disease_state,module_id,module_score_log1p_cpm,score_status,mapped_fraction,included_cells,total_umi_included_cells
GSE230808,GSM7235339,SP22.002,AF,diseased,disc_matrix_homeostasis,2.44941496,score_available,1.000000,3442,80129456
GSE230808,GSM7235340,SP22.003,AF,diseased,ecm_collagen_remodeling,4.97471509,score_available,1.000000,4138,90844059
GSE230808,GSM7235340,SP22.003,AF,diseased,inflammatory_nfkb,2.18698849,score_available,1.000000,4138,90844059
GSE230808,GSM7235340,SP22.003,AF,diseased,hypoxia_oxidative_stress,5.08529422,score_available,0.944444,4138,90844059
GSE230808,GSM7235340,SP22.003,AF,diseased,disc_matrix_homeostasis,2.49634487,score_available,1.000000,4138,90844059
GSE230808,GSM7235341,SP21.007,NP,diseased,ecm_collagen_remodeling,5.03211261,score_available,1.000000,4154,89070698
GSE230808,GSM7235341,SP21.007,NP,diseased,inflammatory_nfkb,2.16934490,score_available,1.000000,4154,89070698
GSE230808,GSM7235341,SP21.007,NP,diseased,hypoxia_oxidative_stress,4.74163421,score_available,0.944444,4154,89070698
GSE230808,GSM7235341,SP21.007,NP,diseased,disc_matrix_homeostasis,2.22918431,score_available,1.000000,4154,89070698
GSE230808,GSM7235342,SP21.011,NP,diseased,ecm_collagen_remodeling,4.81509516,score_available,1.000000,1783,102726401
GSE230808,GSM7235342,SP21.011,NP,diseased,inflammatory_nfkb,2.18269241,score_available,1.000000,1783,102726401
GSE230808,GSM7235342,SP21.011,NP,diseased,hypoxia_oxidative_stress,5.02477790,score_available,0.944444,1783,102726401
GSE230808,GSM7235342,SP21.011,NP,diseased,disc_matrix_homeostasis,1.75415033,score_available,1.000000,1783,102726401
GSE230808,GSM7235343,SP21.013,NP,diseased,ecm_collagen_remodeling,5.26689341,score_available,1.000000,2122,61708790
GSE230808,GSM7235343,SP21.013,NP,diseased,inflammatory_nfkb,2.17374239,score_available,1.000000,2122,61708790
GSE230808,GSM7235343,SP21.013,NP,diseased,hypoxia_oxidative_stress,4.87488977,score_available,0.944444,2122,61708790
GSE230808,GSM7235343,SP21.013,NP,diseased,disc_matrix_homeostasis,2.16649324,score_available,1.000000,2122,61708790
GSE230808,GSM7235344,SP21.014,NP,diseased,ecm_collagen_remodeling,5.17881353,score_available,1.000000,3409,74292100
GSE230808,GSM7235344,SP21.014,NP,diseased,inflammatory_nfkb,2.13221707,score_available,1.000000,3409,74292100
GSE230808,GSM7235344,SP21.014,NP,diseased,hypoxia_oxidative_stress,5.06522505,score_available,0.944444,3409,74292100
GSE230808,GSM7235344,SP21.014,NP,diseased,disc_matrix_homeostasis,1.61841100,score_available,1.000000,3409,74292100
GSE230808,GSM7235345,SP21.016,NP,diseased,ecm_collagen_remodeling,5.29261432,score_available,1.000000,1376,48267263
GSE230808,GSM7235345,SP21.016,NP,diseased,inflammatory_nfkb,2.24472520,score_available,1.000000,1376,48267263
GSE230808,GSM7235345,SP21.016,NP,diseased,hypoxia_oxidative_stress,5.20400373,score_available,0.944444,1376,48267263
GSE230808,GSM7235345,SP21.016,NP,diseased,disc_matrix_homeostasis,2.36457388,score_available,1.000000,1376,48267263
GSE230808,GSM7235346,SP21.017,NP,diseased,ecm_collagen_remodeling,5.27107771,score_available,1.000000,2498,45483145
GSE230808,GSM7235346,SP21.017,NP,diseased,inflammatory_nfkb,2.14917102,score_available,1.000000,2498,45483145
GSE230808,GSM7235346,SP21.017,NP,diseased,hypoxia_oxidative_stress,5.19851836,score_available,0.944444,2498,45483145
GSE230808,GSM7235346,SP21.017,NP,diseased,disc_matrix_homeostasis,2.37996178,score_available,1.000000,2498,45483145
GSE230808,GSM7235347,SP22.002,NP,diseased,ecm_collagen_remodeling,4.90748853,score_available,1.000000,3291,42390781
GSE230808,GSM7235347,SP22.002,NP,diseased,inflammatory_nfkb,2.37533714,score_available,1.000000,3291,42390781
GSE230808,GSM7235347,SP22.002,NP,diseased,hypoxia_oxidative_stress,5.02287920,score_available,0.944444,3291,42390781
GSE230808,GSM7235347,SP22.002,NP,diseased,disc_matrix_homeostasis,1.71955161,score_available,1.000000,3291,42390781
GSE230808,GSM7235348,SP22.003,NP,diseased,ecm_collagen_remodeling,4.86619974,score_available,1.000000,13748,68843786
GSE230808,GSM7235348,SP22.003,NP,diseased,inflammatory_nfkb,2.34200013,score_available,1.000000,13748,68843786
GSE230808,GSM7235348,SP22.003,NP,diseased,hypoxia_oxidative_stress,5.01075860,score_available,0.944444,13748,68843786
GSE230808,GSM7235348,SP22.003,NP,diseased,disc_matrix_homeostasis,1.64915553,score_available,1.000000,13748,68843786
