dataset,gsm,donor_id,compartment,disease_state,module_id,gene_symbol,feature_rows_mapped,pseudobulk_count,total_umi_included_cells
GSE230808,GSM7235332,SP20.006,AF,diseased,inflammatory_nfkb,IKBKB,1,89,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,inflammatory_nfkb,IKBKG,1,84,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,inflammatory_nfkb,IL1B,1,0,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,inflammatory_nfkb,IL6,1,1,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,inflammatory_nfkb,JUN,1,40419,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,inflammatory_nfkb,NFKB1,1,285,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,inflammatory_nfkb,NFKB2,1,173,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,inflammatory_nfkb,NFKBIA,1,5389,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,inflammatory_nfkb,NLRP3,1,0,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,inflammatory_nfkb,RELA,1,687,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,inflammatory_nfkb,RELB,1,59,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,inflammatory_nfkb,STAT3,1,2360,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,inflammatory_nfkb,TICAM1,1,66,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,inflammatory_nfkb,TLR2,1,27,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,inflammatory_nfkb,TLR4,1,171,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,inflammatory_nfkb,TNF,1,1,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,inflammatory_nfkb,TNFRSF1A,1,952,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,hypoxia_oxidative_stress,BNIP3,1,28338,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,hypoxia_oxidative_stress,CA9,1,384,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,hypoxia_oxidative_stress,EGLN1,1,1322,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,hypoxia_oxidative_stress,EPAS1,1,521,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,hypoxia_oxidative_stress,GCLM,1,438,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,hypoxia_oxidative_stress,GPX1,0,0,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,hypoxia_oxidative_stress,HIF1A,1,6337,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,hypoxia_oxidative_stress,HMOX1,1,1530,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,hypoxia_oxidative_stress,LDHA,1,25266,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,hypoxia_oxidative_stress,NFE2L2,1,1318,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,hypoxia_oxidative_stress,NQO1,1,61,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,hypoxia_oxidative_stress,PDK1,1,1544,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,hypoxia_oxidative_stress,PRDX1,1,5329,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,hypoxia_oxidative_stress,SLC2A1,1,2956,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,hypoxia_oxidative_stress,SOD1,1,9861,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,hypoxia_oxidative_stress,SOD2,1,10922,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,hypoxia_oxidative_stress,TXN,1,2269,18461300
GSE230808,GSM7235332,SP20.006,AF,diseased,hypoxia_oxidative_stress,VEGFA,1,14571,18461300
