cohort_id,cohort_role,analysis_role,inference_key_type,compartment,module_id,contrast_label,excluded_donor_or_library_key,excluded_arm,remaining_comparison_n,remaining_target_n,leave_one_out_effect_target_minus_comparison,leave_one_out_effect_direction,full_effect_direction,direction_agrees_with_full_effect,leave_one_out_status
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,ecm_collagen_remodeling,degenerated_minus_relatively_normal,IDD8,target,8,7,-0.51146189,negative_lower_target_severity,negative_lower_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,hypoxia_oxidative_stress,degenerated_minus_relatively_normal,CTL1,comparison,7,8,0.08245252,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,hypoxia_oxidative_stress,degenerated_minus_relatively_normal,CTL2,comparison,7,8,0.12920679,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,hypoxia_oxidative_stress,degenerated_minus_relatively_normal,CTL3,comparison,7,8,0.08102520,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,hypoxia_oxidative_stress,degenerated_minus_relatively_normal,CTL4,comparison,7,8,0.02130639,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,hypoxia_oxidative_stress,degenerated_minus_relatively_normal,CTL5,comparison,7,8,0.15020200,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,hypoxia_oxidative_stress,degenerated_minus_relatively_normal,CTL6,comparison,7,8,0.09468036,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,hypoxia_oxidative_stress,degenerated_minus_relatively_normal,CTL7,comparison,7,8,0.10046120,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,hypoxia_oxidative_stress,degenerated_minus_relatively_normal,CTL8,comparison,7,8,0.04609025,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,hypoxia_oxidative_stress,degenerated_minus_relatively_normal,IDD1,target,8,7,0.12612657,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,hypoxia_oxidative_stress,degenerated_minus_relatively_normal,IDD2,target,8,7,0.03144623,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,hypoxia_oxidative_stress,degenerated_minus_relatively_normal,IDD3,target,8,7,0.11472058,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,hypoxia_oxidative_stress,degenerated_minus_relatively_normal,IDD4,target,8,7,0.05054296,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,hypoxia_oxidative_stress,degenerated_minus_relatively_normal,IDD5,target,8,7,0.13096781,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,hypoxia_oxidative_stress,degenerated_minus_relatively_normal,IDD6,target,8,7,0.10238535,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,hypoxia_oxidative_stress,degenerated_minus_relatively_normal,IDD7,target,8,7,0.10487839,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,hypoxia_oxidative_stress,degenerated_minus_relatively_normal,IDD8,target,8,7,0.04435681,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,inflammatory_nfkb,degenerated_minus_relatively_normal,CTL1,comparison,7,8,0.76139732,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,inflammatory_nfkb,degenerated_minus_relatively_normal,CTL2,comparison,7,8,0.75163817,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,inflammatory_nfkb,degenerated_minus_relatively_normal,CTL3,comparison,7,8,0.64269680,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,inflammatory_nfkb,degenerated_minus_relatively_normal,CTL4,comparison,7,8,0.52545805,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
GSE153066_support,external_count_level_support_only,external_support_effect_size_and_stability_only,presumed_donor_or_library_key,NP,inflammatory_nfkb,degenerated_minus_relatively_normal,CTL5,comparison,7,8,0.67656625,positive_higher_target_severity,positive_higher_target_severity,true,available_unweighted_target_minus_comparison_mean_difference
