dataset,gsm,module_id,gene_symbol,feature_rows_mapped,pseudobulk_count,total_umi_included_cells
GSE251686,GSM7986003,ecm_collagen_remodeling,SPARC,1,317143,49182514
GSE251686,GSM7986003,ecm_collagen_remodeling,TIMP1,1,36294,49182514
GSE251686,GSM7986003,ecm_collagen_remodeling,TIMP2,1,7094,49182514
GSE251686,GSM7986003,ecm_collagen_remodeling,TNC,1,2196,49182514
GSE251686,GSM7986003,inflammatory_nfkb,CCL2,1,382,49182514
GSE251686,GSM7986003,inflammatory_nfkb,CCL5,1,72,49182514
GSE251686,GSM7986003,inflammatory_nfkb,CXCL8,1,412,49182514
GSE251686,GSM7986003,inflammatory_nfkb,FOS,1,689045,49182514
GSE251686,GSM7986003,inflammatory_nfkb,IKBKB,1,187,49182514
GSE251686,GSM7986003,inflammatory_nfkb,IKBKG,1,2,49182514
GSE251686,GSM7986003,inflammatory_nfkb,IL1B,0,0,49182514
GSE251686,GSM7986003,inflammatory_nfkb,IL6,1,69,49182514
GSE251686,GSM7986003,inflammatory_nfkb,JUN,1,732481,49182514
GSE251686,GSM7986003,inflammatory_nfkb,NFKB1,1,299,49182514
GSE251686,GSM7986003,inflammatory_nfkb,NFKB2,1,565,49182514
GSE251686,GSM7986003,inflammatory_nfkb,NFKBIA,1,203290,49182514
GSE251686,GSM7986003,inflammatory_nfkb,NLRP3,0,0,49182514
GSE251686,GSM7986003,inflammatory_nfkb,RELA,1,1422,49182514
GSE251686,GSM7986003,inflammatory_nfkb,RELB,1,687,49182514
GSE251686,GSM7986003,inflammatory_nfkb,STAT3,1,3551,49182514
GSE251686,GSM7986003,inflammatory_nfkb,TICAM1,1,296,49182514
GSE251686,GSM7986003,inflammatory_nfkb,TLR2,1,13,49182514
GSE251686,GSM7986003,inflammatory_nfkb,TLR4,1,112,49182514
GSE251686,GSM7986003,inflammatory_nfkb,TNF,1,196,49182514
GSE251686,GSM7986003,inflammatory_nfkb,TNFRSF1A,1,2844,49182514
GSE251686,GSM7986003,hypoxia_oxidative_stress,BNIP3,1,25361,49182514
GSE251686,GSM7986003,hypoxia_oxidative_stress,CA9,1,15108,49182514
