dataset,gsm,donor_id,compartment,disease_state,module_id,gene_symbol,feature_rows_mapped,supplied_value_sum,total_supplied_value
GSE165722,GSM5048709,Sample2,NP,mild,ecm_collagen_remodeling,ADAMTS5,1,3191.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,ecm_collagen_remodeling,COL1A1,1,627282.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,ecm_collagen_remodeling,COL1A2,1,547029.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,ecm_collagen_remodeling,COL3A1,1,652615.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,ecm_collagen_remodeling,COL5A1,1,46468.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,ecm_collagen_remodeling,COL5A2,1,67556.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,ecm_collagen_remodeling,COL6A1,1,77049.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,ecm_collagen_remodeling,COL6A2,1,49468.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,ecm_collagen_remodeling,COL6A3,1,53847.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,ecm_collagen_remodeling,DCN,1,383095.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,ecm_collagen_remodeling,FN1,1,421500.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,ecm_collagen_remodeling,LOX,1,11564.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,ecm_collagen_remodeling,LOXL2,1,12899.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,ecm_collagen_remodeling,LUM,1,180648.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,ecm_collagen_remodeling,MMP2,1,59765.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,ecm_collagen_remodeling,MMP3,1,9287.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,ecm_collagen_remodeling,MMP9,1,524.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,ecm_collagen_remodeling,MMP13,1,2612.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,ecm_collagen_remodeling,POSTN,1,43329.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,ecm_collagen_remodeling,SPARC,1,379071.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,ecm_collagen_remodeling,TIMP1,1,12716.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,ecm_collagen_remodeling,TIMP2,1,55923.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,ecm_collagen_remodeling,TNC,1,26302.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,inflammatory_nfkb,CCL2,1,3503.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,inflammatory_nfkb,CCL5,1,154.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,inflammatory_nfkb,CXCL8,1,20611.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,inflammatory_nfkb,FOS,1,91235.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,inflammatory_nfkb,IKBKB,1,247.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,inflammatory_nfkb,IKBKG,0,0.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,inflammatory_nfkb,IL1B,1,5026.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,inflammatory_nfkb,IL6,1,561.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,inflammatory_nfkb,JUN,1,25004.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,inflammatory_nfkb,NFKB1,1,931.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,inflammatory_nfkb,NFKB2,1,483.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,inflammatory_nfkb,NFKBIA,1,28434.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,inflammatory_nfkb,NLRP3,1,261.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,inflammatory_nfkb,RELA,1,2302.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,inflammatory_nfkb,RELB,1,137.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,inflammatory_nfkb,STAT3,1,3292.00000000,31860111.00000000
GSE165722,GSM5048709,Sample2,NP,mild,inflammatory_nfkb,TICAM1,1,355.00000000,31860111.00000000
