dataset,gsm,donor_id,library_id,compartment,disease_state,module_id,module_score_log1p_cpm,score_status,mapped_fraction,included_cells,total_umi_included_cells,matrix_status,analysis_role
GSE153066,GSM4633747,CTL8,CTL8,NP,relatively normal,inflammatory_nfkb,3.93523956,score_available,1.000000,5577,13487432.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633747,CTL8,CTL8,NP,relatively normal,hypoxia_oxidative_stress,4.63451006,score_available,1.000000,5577,13487432.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633747,CTL8,CTL8,NP,relatively normal,disc_matrix_homeostasis,3.88908407,score_available,1.000000,5577,13487432.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633748,IDD1,IDD1,NP,degenerated,ecm_collagen_remodeling,4.51009887,score_available,1.000000,4998,2340762.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633748,IDD1,IDD1,NP,degenerated,inflammatory_nfkb,4.70169031,score_available,1.000000,4998,2340762.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633748,IDD1,IDD1,NP,degenerated,hypoxia_oxidative_stress,4.75166361,score_available,1.000000,4998,2340762.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633748,IDD1,IDD1,NP,degenerated,disc_matrix_homeostasis,4.95519517,score_available,1.000000,4998,2340762.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633749,IDD2,IDD2,NP,degenerated,ecm_collagen_remodeling,4.97768799,score_available,1.000000,3576,5793697.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633749,IDD2,IDD2,NP,degenerated,inflammatory_nfkb,4.10112591,score_available,1.000000,3576,5793697.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
GSE153066,GSM4633749,IDD2,IDD2,NP,degenerated,hypoxia_oxidative_stress,5.41442597,score_available,1.000000,3576,5793697.0,GEO supplementary combined count TSV; GEO processing reports UMI-tools raw-count calculation followed by Seurat cell filtering,donor-level score support; cells nested within presumed sample/library key
