dataset,gsm,donor_id,compartment,disease_state,module_id,gene_symbol,feature_rows_mapped,pseudobulk_count,total_umi_included_cells
GSE230808,GSM7235338,SP21.017,AF,diseased,inflammatory_nfkb,RELB,8,67,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,inflammatory_nfkb,STAT3,8,1094,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,inflammatory_nfkb,TICAM1,8,53,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,inflammatory_nfkb,TLR2,8,4,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,inflammatory_nfkb,TLR4,8,156,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,inflammatory_nfkb,TNF,8,0,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,inflammatory_nfkb,TNFRSF1A,8,1058,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,hypoxia_oxidative_stress,BNIP3,8,3540,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,hypoxia_oxidative_stress,CA9,8,55,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,hypoxia_oxidative_stress,EGLN1,8,448,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,hypoxia_oxidative_stress,EPAS1,8,964,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,hypoxia_oxidative_stress,GCLM,8,1150,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,hypoxia_oxidative_stress,GPX1,0,0,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,hypoxia_oxidative_stress,HIF1A,8,3694,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,hypoxia_oxidative_stress,HMOX1,8,1031,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,hypoxia_oxidative_stress,LDHA,8,11838,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,hypoxia_oxidative_stress,NFE2L2,8,1356,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,hypoxia_oxidative_stress,NQO1,8,1048,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,hypoxia_oxidative_stress,PDK1,8,550,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,hypoxia_oxidative_stress,PRDX1,8,6258,12015201
GSE230808,GSM7235338,SP21.017,AF,diseased,hypoxia_oxidative_stress,SLC2A1,8,297,12015201
