dataset,gsm,donor_id,compartment,disease_state,module_id,gene_symbol,feature_rows_mapped,pseudobulk_count,total_umi_included_cells
GSE244889,GSM7831814,Pb-55F,NP,MDD,ecm_collagen_remodeling,LUM,1,87400,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,ecm_collagen_remodeling,MMP2,1,54,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,ecm_collagen_remodeling,MMP3,1,1078,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,ecm_collagen_remodeling,MMP9,1,512,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,ecm_collagen_remodeling,MMP13,1,3,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,ecm_collagen_remodeling,POSTN,1,297,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,ecm_collagen_remodeling,SPARC,1,33284,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,ecm_collagen_remodeling,TIMP1,1,14552,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,ecm_collagen_remodeling,TIMP2,1,7853,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,ecm_collagen_remodeling,TNC,1,315,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,inflammatory_nfkb,CCL2,1,168,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,inflammatory_nfkb,CCL5,1,1177,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,inflammatory_nfkb,CXCL8,1,3141,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,inflammatory_nfkb,FOS,1,58022,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,inflammatory_nfkb,IKBKB,1,180,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,inflammatory_nfkb,IKBKG,1,104,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,inflammatory_nfkb,IL1B,1,299,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,inflammatory_nfkb,IL6,1,9,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,inflammatory_nfkb,JUN,1,38491,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,inflammatory_nfkb,NFKB1,1,1416,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,inflammatory_nfkb,NFKB2,1,476,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,inflammatory_nfkb,NFKBIA,1,18097,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,inflammatory_nfkb,NLRP3,1,33,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,inflammatory_nfkb,RELA,1,420,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,inflammatory_nfkb,RELB,1,301,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,inflammatory_nfkb,STAT3,1,1733,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,inflammatory_nfkb,TICAM1,1,95,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,inflammatory_nfkb,TLR2,1,26,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,inflammatory_nfkb,TLR4,1,227,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,inflammatory_nfkb,TNF,1,133,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,inflammatory_nfkb,TNFRSF1A,1,755,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,hypoxia_oxidative_stress,BNIP3,1,7395,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,hypoxia_oxidative_stress,CA9,1,1008,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,hypoxia_oxidative_stress,EGLN1,1,177,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,hypoxia_oxidative_stress,EPAS1,1,221,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,hypoxia_oxidative_stress,GCLM,1,336,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,hypoxia_oxidative_stress,GPX1,1,1997,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,hypoxia_oxidative_stress,HIF1A,1,2671,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,hypoxia_oxidative_stress,HMOX1,1,615,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,hypoxia_oxidative_stress,LDHA,1,14998,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,hypoxia_oxidative_stress,NFE2L2,1,1646,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,hypoxia_oxidative_stress,NQO1,1,98,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,hypoxia_oxidative_stress,PDK1,1,463,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,hypoxia_oxidative_stress,PRDX1,1,7733,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,hypoxia_oxidative_stress,SLC2A1,1,917,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,hypoxia_oxidative_stress,SOD1,1,7991,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,hypoxia_oxidative_stress,SOD2,1,6865,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,hypoxia_oxidative_stress,TXN,1,4087,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,hypoxia_oxidative_stress,VEGFA,1,4199,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,disc_matrix_homeostasis,ACAN,1,43217,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,disc_matrix_homeostasis,B3GAT1,1,1,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,disc_matrix_homeostasis,BGN,1,16231,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,disc_matrix_homeostasis,CILP,1,16345,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,disc_matrix_homeostasis,COL2A1,1,50116,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,disc_matrix_homeostasis,COL9A1,1,49,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,disc_matrix_homeostasis,COL9A2,1,3432,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,disc_matrix_homeostasis,COL9A3,1,6828,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,disc_matrix_homeostasis,COMP,1,113920,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,disc_matrix_homeostasis,FMOD,1,29355,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,disc_matrix_homeostasis,HAPLN1,1,4222,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,disc_matrix_homeostasis,HAS2,1,410,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,disc_matrix_homeostasis,KRT19,1,53,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,disc_matrix_homeostasis,MATN3,1,142,15001138
GSE244889,GSM7831814,Pb-55F,NP,MDD,disc_matrix_homeostasis,SOX9,1,4492,15001138
GSE244889,GSM7831815,Pab-24M,NP,MDD,ecm_collagen_remodeling,ADAMTS4,1,45,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,ecm_collagen_remodeling,ADAMTS5,1,700,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,ecm_collagen_remodeling,COL1A1,1,16010,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,ecm_collagen_remodeling,COL1A2,1,84127,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,ecm_collagen_remodeling,COL3A1,1,85483,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,ecm_collagen_remodeling,COL5A1,1,15958,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,ecm_collagen_remodeling,COL5A2,1,38889,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,ecm_collagen_remodeling,COL6A1,1,63370,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,ecm_collagen_remodeling,COL6A2,1,54205,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,ecm_collagen_remodeling,COL6A3,1,18597,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,ecm_collagen_remodeling,DCN,1,882465,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,ecm_collagen_remodeling,FN1,1,617944,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,ecm_collagen_remodeling,LOX,1,10714,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,ecm_collagen_remodeling,LOXL2,1,6682,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,ecm_collagen_remodeling,LUM,1,477641,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,ecm_collagen_remodeling,MMP2,1,870,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,ecm_collagen_remodeling,MMP3,1,7001,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,ecm_collagen_remodeling,MMP9,1,118,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,ecm_collagen_remodeling,MMP13,1,114,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,ecm_collagen_remodeling,POSTN,1,3450,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,ecm_collagen_remodeling,SPARC,1,294116,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,ecm_collagen_remodeling,TIMP1,1,95288,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,ecm_collagen_remodeling,TIMP2,1,50682,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,ecm_collagen_remodeling,TNC,1,1505,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,inflammatory_nfkb,CCL2,1,1283,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,inflammatory_nfkb,CCL5,1,564,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,inflammatory_nfkb,CXCL8,1,1355,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,inflammatory_nfkb,FOS,1,218453,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,inflammatory_nfkb,IKBKB,1,457,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,inflammatory_nfkb,IKBKG,1,465,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,inflammatory_nfkb,IL1B,1,68,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,inflammatory_nfkb,IL6,1,9,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,inflammatory_nfkb,JUN,1,190521,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,inflammatory_nfkb,NFKB1,1,2951,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,inflammatory_nfkb,NFKB2,1,854,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,inflammatory_nfkb,NFKBIA,1,48333,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,inflammatory_nfkb,NLRP3,1,14,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,inflammatory_nfkb,RELA,1,2474,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,inflammatory_nfkb,RELB,1,871,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,inflammatory_nfkb,STAT3,1,8947,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,inflammatory_nfkb,TICAM1,1,361,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,inflammatory_nfkb,TLR2,1,39,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,inflammatory_nfkb,TLR4,1,358,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,inflammatory_nfkb,TNF,1,78,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,inflammatory_nfkb,TNFRSF1A,1,4452,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,hypoxia_oxidative_stress,BNIP3,1,39736,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,hypoxia_oxidative_stress,CA9,1,7405,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,hypoxia_oxidative_stress,EGLN1,1,1221,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,hypoxia_oxidative_stress,EPAS1,1,1849,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,hypoxia_oxidative_stress,GCLM,1,2733,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,hypoxia_oxidative_stress,GPX1,1,12904,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,hypoxia_oxidative_stress,HIF1A,1,19168,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,hypoxia_oxidative_stress,HMOX1,1,9217,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,hypoxia_oxidative_stress,LDHA,1,74957,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,hypoxia_oxidative_stress,NFE2L2,1,5684,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,hypoxia_oxidative_stress,NQO1,1,499,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,hypoxia_oxidative_stress,PDK1,1,1713,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,hypoxia_oxidative_stress,PRDX1,1,69558,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,hypoxia_oxidative_stress,SLC2A1,1,4417,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,hypoxia_oxidative_stress,SOD1,1,64860,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,hypoxia_oxidative_stress,SOD2,1,44308,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,hypoxia_oxidative_stress,TXN,1,29747,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,hypoxia_oxidative_stress,VEGFA,1,20335,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,disc_matrix_homeostasis,ACAN,1,355524,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,disc_matrix_homeostasis,B3GAT1,1,1,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,disc_matrix_homeostasis,BGN,1,141601,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,disc_matrix_homeostasis,CILP,1,68859,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,disc_matrix_homeostasis,COL2A1,1,764124,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,disc_matrix_homeostasis,COL9A1,1,209,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,disc_matrix_homeostasis,COL9A2,1,25812,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,disc_matrix_homeostasis,COL9A3,1,67930,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,disc_matrix_homeostasis,COMP,1,605027,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,disc_matrix_homeostasis,FMOD,1,165783,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,disc_matrix_homeostasis,HAPLN1,1,63915,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,disc_matrix_homeostasis,HAS2,1,2414,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,disc_matrix_homeostasis,KRT19,1,38,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,disc_matrix_homeostasis,MATN3,1,297,80969098
GSE244889,GSM7831815,Pab-24M,NP,MDD,disc_matrix_homeostasis,SOX9,1,47311,80969098
GSE244889,GSM7831816,Pab-30M,NP,MDD,ecm_collagen_remodeling,ADAMTS4,1,22,94450849
GSE244889,GSM7831816,Pab-30M,NP,MDD,ecm_collagen_remodeling,ADAMTS5,1,539,94450849
GSE244889,GSM7831816,Pab-30M,NP,MDD,ecm_collagen_remodeling,COL1A1,1,299,94450849
GSE244889,GSM7831816,Pab-30M,NP,MDD,ecm_collagen_remodeling,COL1A2,1,45910,94450849
GSE244889,GSM7831816,Pab-30M,NP,MDD,ecm_collagen_remodeling,COL3A1,1,55190,94450849
GSE244889,GSM7831816,Pab-30M,NP,MDD,ecm_collagen_remodeling,COL5A1,1,9257,94450849
GSE244889,GSM7831816,Pab-30M,NP,MDD,ecm_collagen_remodeling,COL5A2,1,39755,94450849
GSE244889,GSM7831816,Pab-30M,NP,MDD,ecm_collagen_remodeling,COL6A1,1,33034,94450849
GSE244889,GSM7831816,Pab-30M,NP,MDD,ecm_collagen_remodeling,COL6A2,1,27442,94450849
GSE244889,GSM7831816,Pab-30M,NP,MDD,ecm_collagen_remodeling,COL6A3,1,10307,94450849
GSE244889,GSM7831816,Pab-30M,NP,MDD,ecm_collagen_remodeling,DCN,1,899815,94450849
GSE244889,GSM7831816,Pab-30M,NP,MDD,ecm_collagen_remodeling,FN1,1,608611,94450849
GSE244889,GSM7831816,Pab-30M,NP,MDD,ecm_collagen_remodeling,LOX,1,4860,94450849
GSE244889,GSM7831816,Pab-30M,NP,MDD,ecm_collagen_remodeling,LOXL2,1,4003,94450849
GSE244889,GSM7831816,Pab-30M,NP,MDD,ecm_collagen_remodeling,LUM,1,554454,94450849
GSE244889,GSM7831816,Pab-30M,NP,MDD,ecm_collagen_remodeling,MMP2,1,1,94450849
GSE244889,GSM7831816,Pab-30M,NP,MDD,ecm_collagen_remodeling,MMP3,1,4695,94450849
GSE244889,GSM7831816,Pab-30M,NP,MDD,ecm_collagen_remodeling,MMP9,1,5,94450849
GSE244889,GSM7831816,Pab-30M,NP,MDD,ecm_collagen_remodeling,MMP13,1,11,94450849
GSE244889,GSM7831816,Pab-30M,NP,MDD,ecm_collagen_remodeling,POSTN,1,61,94450849
GSE244889,GSM7831816,Pab-30M,NP,MDD,ecm_collagen_remodeling,SPARC,1,304373,94450849
GSE244889,GSM7831816,Pab-30M,NP,MDD,ecm_collagen_remodeling,TIMP1,1,108908,94450849
